video_id,title,views,likes,comments,publish_days,subscribers
PtpfCIjb6wc,為什麼會有頭皮屑？| 一探啾竟 第58集 | 啾啾鞋,599704,9561,934,2268,1590000
mTroOtUUtGI,2016，我看了哪些書? 科幻X短篇X實用X燒腦!!! | 啾來聊聊2016 第46集 | 啾啾鞋,126879,3687,242,2940,1590000
TfSTgN_5sZo,科學研究百歲人瑞的身體，發現與普通人最大的不同之處！,92393,2052,203,464,1590000
1NGAQoKH0J4,大貓熊的黑白毛皮竟然也是一種保護色??,88183,3547,207,1137,1590000
qAkGvIFv9uA,我買了一件牛奶做成的T-shirt，但這價格是在...？| 啾啾鞋,359956,11102,688,1820,1590000
0L2OgNQDzTc,這是一篇退坑文... | 啾啾鞋,1102981,25601,5022,1728,1590000
gsVvSIWjKeg,隨機播放其實一點都不隨機! | 超邊緣冷知識 第33集 | 啾啾鞋,1108271,29670,1292,2674,1590000
FrhNvGVZ7tM,來自波蘭的盜版遊戲小販，如何翻身為波蘭市值最大的公司！｜CD Projekt發跡史｜巨頭的起源,177491,4231,271,758,1590000
vYgMcxgqUEU,用25萬讓AI幫我買股票！ChatGPT挑的股票會賺錢嗎！？｜瘋狂韭宮格 第三彈｜啾啾鞋,290034,5320,336,591,1590000
RZE5z2sQwSo,檸檬汁也可以用網路傳給你!? 超酷炫黑科技背後的原理! | 一探啾竟 第4集 | 啾啾鞋,446620,12101,935,2793,1590000
stPLmGk3FZo,讓蚊子完全無法著陸吸血的神奇防蚊液！｜啾啾鞋,598489,19773,1021,1466,1590000
rNJGpoWLriQ,原文書上的神祕數字代表什麼意思? | 超邊緣冷知識 第36集 | 啾啾鞋,255330,8640,374,2646,1590000
ZDyj2G2MLpo,學測自然科大挑戰!! 畢業六年到底還能拿幾分? | 啾啾鞋,584126,12579,1148,2870,1590000
BC37IjyoZ3o,她自稱將開發超省油黑科技國民神車，藉此詐騙3300萬美元！| 戴爾汽車詐騙案 | 啾啾鞋,356386,6539,293,1302,1590000
MeKUDP-76sI,沒有網路的年代要如何遠距教學? 遠距教學的發展歷史! | 啾啾鞋,87351,3051,189,1270,1590000
olUCluVa--E,【啾極知識王 EP3】Google的logo字母是什麼顏色? 最多人用的密碼是? ft. Onion Man,707663,13368,967,1932,1590000
